Referring_Domain,Semrush_AS,nationalfosteringgroup.co.uk,thefca.co.uk,thefosteringnetwork.org.uk,capstonefostercare.co.uk,ispfostering.org.uk,fosterplus.co.uk,fosteringpeople.co.uk,swiisfostercare.com,compassfostering.com,orangegrovefostercare.co.uk
milton-keynes.gov.uk,49,0,0,1,0,0,0,0,0,0,0
motherandbaby.com,49,0,0,2,0,11,4,0,0,1,2
newcastle.gov.uk,49,0,0,3,0,0,0,0,0,0,0
newworldencyclopedia.org,49,0,0,2,0,0,0,0,0,0,0
northamptonchron.co.uk,49,0,0,2,0,1,1,0,0,0,0
oxfordshire.gov.uk,49,0,0,16,0,0,0,0,0,0,0
parliament.scot,49,0,0,19,0,0,0,0,0,0,0
poddtoppen.se,49,0,0,1,0,0,0,0,0,0,0
portsmouth.gov.uk,49,0,0,52,0,0,0,0,0,0,0
prospeo.io,49,1,1,1,1,0,0,0,0,0,0
restless.co.uk,49,0,0,0,9,0,0,0,0,0,0
southlanarkshire.gov.uk,49,0,0,5,0,0,0,0,0,0,0
theepochtimes.com,49,0,2,0,0,0,0,0,0,0,0
ulsterbank.co.uk,49,0,0,2,0,0,0,0,0,0,0
westsussex.gov.uk,49,0,0,1,0,0,0,0,0,0,0
zeno.fm,49,1,0,0,0,0,0,0,0,0,0
pawboost.com,49,0,0,0,0,0,0,1,0,0,0
provenexpert.com,49,0,0,0,0,0,0,0,0,12,0
bigissue.com,48,0,0,2,0,0,0,0,0,0,0
brent.gov.uk,48,0,0,4,0,0,0,0,0,0,0
constantcontact.com,48,0,5,0,0,0,0,0,0,0,0
croydon.gov.uk,48,0,0,4,0,0,0,0,0,0,0
distractify.com,48,0,0,1,0,0,0,0,0,0,0
forcesnews.com,48,0,0,1,0,0,0,0,0,0,0
fwi.co.uk,48,1,0,0,0,0,0,0,0,0,0
hackney.gov.uk,48,0,0,2,0,0,0,0,0,0,0
hertfordshire.gov.uk,48,0,0,2,0,0,0,0,0,0,0
islington.gov.uk,48,0,0,6,0,0,0,0,0,0,0
lancs.live,48,1,0,2,0,0,0,0,0,0,0
newsletter.co.uk,48,0,0,1,0,0,0,0,0,0,0
nottinghamcity.gov.uk,48,0,0,2,0,0,0,0,0,0,0
nottinghamshire.gov.uk,48,0,0,16,0,0,0,0,0,0,0
observer.co.uk,48,0,0,2,0,0,0,0,0,0,0
southwark.gov.uk,48,0,0,2,0,0,0,0,0,0,0
unbiased.co.uk,48,0,0,0,1,0,0,0,0,0,0
